date,code,open,close,high,low,volume,amount,振幅,pct_chg,涨跌额,turnover
2023-01-03,000301,12.76,12.93,13.03,12.6,249001,323634622.63,3.35,0.006999999999999999,0.09,0.0048
2023-01-04,000301,12.93,12.74,13.0,12.67,190725,248119780.83,2.55,-0.0147,-0.19,0.0036
2023-01-05,000301,12.77,13.02,13.35,12.61,377565,497552847.8,5.81,0.022000000000000002,0.28,0.0072
2023-01-06,000301,13.38,14.34,14.34,13.38,572436,826895882.53,7.37,0.1014,1.32,0.0109
2023-01-09,000301,14.79,14.6,15.21,14.53,1362876,2048086820.8,4.74,0.0181,0.26,0.026000000000000002
2023-01-10,000301,14.75,14.26,14.79,14.16,522217,760408662.88,4.32,-0.0233,-0.34,0.01
2023-01-11,000301,14.31,14.38,14.63,14.22,428027,627238854.18,2.88,0.0084,0.12,0.008199999999999999
2023-01-12,000301,14.38,14.16,14.73,14.11,362152,526894369.52,4.31,-0.015300000000000001,-0.22,0.0069
2023-01-13,000301,14.2,14.05,14.33,13.79,365599,520058667.56,3.81,-0.0078000000000000005,-0.11,0.006999999999999999
2023-01-16,000301,14.02,14.49,14.6,13.89,422131,615334979.46,5.05,0.0313,0.44,0.008100000000000001
2023-01-17,000301,14.45,14.52,14.86,14.4,486326,718555028.0,3.17,0.0021,0.03,0.009300000000000001
2023-01-18,000301,14.51,14.56,14.69,14.35,309366,457344981.14,2.34,0.0028000000000000004,0.04,0.0059
2023-01-19,000301,14.46,14.47,14.54,14.27,236351,345721512.43,1.85,-0.0062,-0.09,0.0045000000000000005
2023-01-20,000301,14.38,14.48,14.5,14.03,557225,809006989.49,3.25,0.0007000000000000001,0.01,0.0101
2023-01-30,000301,14.62,14.64,14.91,14.57,573029,853419260.04,2.35,0.011000000000000001,0.16,0.0104
2023-01-31,000301,14.16,15.42,15.53,14.0,1056675,1617758927.1,10.45,0.0533,0.78,0.0192
2023-02-01,000301,15.42,15.81,16.0,15.24,852107,1347669629.43,4.93,0.0253,0.39,0.0155
2023-02-02,000301,15.77,15.64,15.83,15.46,423113,668659713.94,2.34,-0.0108,-0.17,0.0077
2023-02-03,000301,15.5,15.3,15.6,15.07,376161,581343528.25,3.39,-0.0217,-0.34,0.0068000000000000005
2023-02-06,000301,15.16,15.37,15.58,14.99,409643,632973503.34,3.86,0.0046,0.07,0.0074
2023-02-07,000301,15.38,15.23,15.56,15.08,253642,392826872.61,3.12,-0.0091,-0.14,0.0046
2023-02-08,000301,15.29,15.3,15.4,15.14,206115,318661480.21,1.71,0.0046,0.07,0.0037
2023-02-09,000301,15.19,15.55,15.87,15.15,480953,760147818.68,4.71,0.0163,0.25,0.0087
2023-02-10,000301,15.5,15.53,15.81,15.4,310159,490145191.54,2.64,-0.0013,-0.02,0.005600000000000001
2023-02-13,000301,15.49,15.49,15.6,15.24,228991,357426135.84,2.32,-0.0026,-0.04,0.0042
2023-02-14,000301,15.49,15.78,16.0,15.41,495755,793274369.09,3.81,0.0187,0.29,0.009000000000000001
2023-02-15,000301,15.89,15.58,16.09,15.49,391411,623719785.22,3.8,-0.0127,-0.2,0.0070999999999999995
2023-02-16,000301,15.57,15.06,15.64,14.89,406382,629341331.58,4.81,-0.0334,-0.52,0.0074
2023-02-17,000301,15.01,15.07,15.28,14.99,206306,315946960.41,1.93,0.0007000000000000001,0.01,0.0038
2023-02-20,000301,15.05,15.57,15.76,14.83,364386,566545102.4,6.17,0.0332,0.5,0.0066
2023-02-21,000301,15.57,15.7,15.78,15.42,241587,382983124.5,2.31,0.0083,0.13,0.0044
2023-02-22,000301,15.65,15.5,15.89,15.41,210558,332602022.75,3.06,-0.0127,-0.2,0.0038
2023-02-23,000301,15.51,15.83,15.9,15.48,391092,624900652.43,2.71,0.0213,0.33,0.0070999999999999995
2023-02-24,000301,15.85,15.45,15.89,15.37,250956,394928747.9,3.28,-0.024,-0.38,0.0046
2023-02-27,000301,15.32,15.46,15.88,15.28,296913,469970346.47,3.88,0.0006,0.01,0.0054
2023-02-28,000301,15.44,15.33,15.5,15.13,301141,465411446.86,2.39,-0.0084,-0.13,0.0055000000000000005
2023-03-01,000301,15.28,15.2,15.29,14.94,375270,574552930.52,2.28,-0.0085,-0.13,0.0068000000000000005
2023-03-02,000301,15.19,15.06,15.28,14.98,235828,360534787.18,1.97,-0.0092,-0.14,0.0043
2023-03-03,000301,15.06,14.95,15.16,14.89,251655,381876149.11,1.79,-0.0073,-0.11,0.0046
2023-03-06,000301,14.92,14.95,15.02,14.85,242613,367405842.7,1.14,0.0,0.0,0.0044
2023-03-07,000301,14.93,14.72,14.99,14.54,276849,415016090.88,3.01,-0.0154,-0.23,0.005
2023-03-08,000301,14.72,14.62,14.84,14.57,116225,172790982.96,1.83,-0.0068000000000000005,-0.1,0.0021
2023-03-09,000301,14.64,14.73,14.81,14.55,131906,196457378.06,1.78,0.0075,0.11,0.0024
