date,code,open,close,high,low,volume,amount,振幅,pct_chg,涨跌额,turnover
2023-01-03,000157,4.5,4.54,4.55,4.46,187334,102295371.81,2.0,0.0089,0.04,0.0027
2023-01-04,000157,4.55,4.59,4.62,4.52,165811,91555661.56,2.2,0.011000000000000001,0.05,0.0023
2023-01-05,000157,4.61,4.61,4.62,4.59,140215,77723743.46,0.65,0.0044,0.02,0.002
2023-01-06,000157,4.62,4.6,4.62,4.59,113939,63174433.58,0.65,-0.0022,-0.01,0.0016
2023-01-09,000157,4.6,4.67,4.68,4.6,197773,110707375.46,1.74,0.0152,0.07,0.0028000000000000004
2023-01-10,000157,4.67,4.64,4.67,4.62,130986,73075262.18,1.07,-0.0064,-0.03,0.0019
2023-01-11,000157,4.65,4.67,4.69,4.62,183419,102837333.37,1.51,0.006500000000000001,0.03,0.0026
2023-01-12,000157,4.67,4.63,4.68,4.61,135240,75328279.12,1.5,-0.0086,-0.04,0.0019
2023-01-13,000157,4.63,4.76,4.77,4.62,293283,165865974.73,3.24,0.0281,0.13,0.0040999999999999995
2023-01-16,000157,4.79,4.85,4.88,4.76,323892,186603279.56,2.52,0.0189,0.09,0.0046
2023-01-17,000157,4.83,4.86,4.88,4.81,220658,127844703.38,1.44,0.0021,0.01,0.0031
2023-01-18,000157,4.87,4.85,4.93,4.84,191333,111327934.53,1.85,-0.0021,-0.01,0.0027
2023-01-19,000157,4.86,4.85,4.87,4.82,154768,89370424.44,1.03,0.0,0.0,0.0022
2023-01-20,000157,4.86,4.9,4.9,4.85,205148,119483659.09,1.03,0.0103,0.05,0.0029
2023-01-30,000157,4.94,4.93,4.99,4.91,303400,178531742.91,1.63,0.0060999999999999995,0.03,0.0043
2023-01-31,000157,4.92,4.88,4.95,4.87,258860,151163579.02,1.62,-0.0101,-0.05,0.0037
2023-02-01,000157,4.91,4.92,4.92,4.85,243332,141787684.91,1.43,0.008199999999999999,0.04,0.0034000000000000002
2023-02-02,000157,4.93,4.86,4.94,4.85,243404,141440091.0,1.83,-0.012199999999999999,-0.06,0.0034000000000000002
2023-02-03,000157,4.86,4.81,4.86,4.76,241905,138698705.59,2.06,-0.0103,-0.05,0.0034000000000000002
2023-02-06,000157,4.86,4.8,4.89,4.78,285295,164503645.55,2.29,-0.0021,-0.01,0.004
2023-02-07,000157,4.81,4.81,4.82,4.78,204390,117355784.64,0.83,0.0021,0.01,0.0029
2023-02-08,000157,4.82,4.79,4.85,4.78,164620,94589947.17,1.46,-0.0042,-0.02,0.0023
2023-02-09,000157,4.81,4.89,4.9,4.78,313720,181707658.55,2.51,0.0209,0.1,0.0044
2023-02-10,000157,4.89,5.12,5.16,4.88,1410597,851402422.4,5.73,0.047,0.23,0.02
2023-02-13,000157,5.14,5.51,5.64,5.14,1947621,1246482503.34,9.77,0.0762,0.39,0.0276
2023-02-14,000157,5.52,5.56,5.58,5.4,919660,591564210.65,3.27,0.0091,0.05,0.013000000000000001
2023-02-15,000157,5.54,5.57,5.63,5.51,774118,503511869.95,2.16,0.0018,0.01,0.011000000000000001
2023-02-16,000157,5.54,5.38,5.57,5.33,694992,445066578.66,4.31,-0.0341,-0.19,0.0098
2023-02-17,000157,5.39,5.48,5.58,5.39,661236,426058478.95,3.53,0.018600000000000002,0.1,0.009399999999999999
2023-02-20,000157,5.5,5.94,5.98,5.49,1793766,1211024089.84,8.94,0.0839,0.46,0.0254
2023-02-21,000157,5.94,5.93,6.06,5.81,1003372,688130135.5,4.21,-0.0017000000000000001,-0.01,0.014199999999999999
2023-02-22,000157,5.88,5.9,5.96,5.83,586556,400346481.11,2.19,-0.0051,-0.03,0.0083
2023-02-23,000157,5.9,5.88,5.93,5.83,418843,285167038.12,1.69,-0.0034000000000000002,-0.02,0.0059
2023-02-24,000157,5.88,5.79,5.89,5.74,489891,330095047.3,2.55,-0.015300000000000001,-0.09,0.0069
2023-02-27,000157,5.74,5.77,5.85,5.72,417920,281237744.46,2.25,-0.0034999999999999996,-0.02,0.0059
2023-02-28,000157,5.77,5.77,5.81,5.69,367029,245201542.14,2.08,0.0,0.0,0.0052
2023-03-01,000157,5.77,5.86,5.89,5.74,495092,335399410.08,2.6,0.015600000000000001,0.09,0.006999999999999999
2023-03-02,000157,5.83,5.91,5.94,5.82,426137,291230480.45,2.05,0.0085,0.05,0.006
2023-03-03,000157,5.87,5.92,5.93,5.86,343434,235089772.58,1.18,0.0017000000000000001,0.01,0.0049
2023-03-06,000157,5.92,5.8,5.92,5.76,816544,552094000.04,2.7,-0.0203,-0.12,0.0116
2023-03-07,000157,5.77,5.71,5.86,5.7,425756,286351100.25,2.76,-0.0155,-0.09,0.006
