date,code,open,close,high,low,volume,amount,振幅,pct_chg,涨跌额,turnover
2023-01-03,000001,11.59,12.16,12.24,11.44,2194128,2971546989.04,6.93,0.0528,0.61,0.0113
2023-01-04,000001,12.1,12.71,12.81,12.02,2189683,3110729449.03,6.5,0.0452,0.55,0.0113
2023-01-05,000001,12.79,12.87,13.13,12.76,1665425,2417272355.99,2.91,0.0126,0.16,0.0086
2023-01-06,000001,12.89,13.01,13.11,12.87,1195745,1747915169.26,1.86,0.0109,0.14,0.0062
2023-01-09,000001,13.14,13.19,13.27,12.91,1057659,1561368487.3,2.77,0.0138,0.18,0.0055000000000000005
2023-01-10,000001,13.15,12.83,13.28,12.78,1269423,1851093716.76,3.79,-0.0273,-0.36,0.006500000000000001
2023-01-11,000001,12.84,13.06,13.17,12.78,830566,1217450811.64,3.04,0.0179,0.23,0.0043
2023-01-12,000001,13.16,13.06,13.16,12.92,625695,914367699.65,1.84,0.0,0.0,0.0032
2023-01-13,000001,13.06,13.34,13.34,12.94,949086,1407181074.29,3.06,0.021400000000000002,0.28,0.0049
2023-01-16,000001,13.34,13.47,13.67,13.24,1560040,2356399992.83,3.22,0.0097,0.13,0.008
2023-01-17,000001,13.52,13.36,13.57,13.16,935835,1396151514.52,3.04,-0.008199999999999999,-0.11,0.0048
2023-01-18,000001,13.34,13.5,13.57,13.3,718434,1083362997.53,2.02,0.0105,0.14,0.0037
2023-01-19,000001,13.52,13.48,13.64,13.26,641875,963744633.47,2.81,-0.0015,-0.02,0.0033
2023-01-20,000001,13.55,13.52,13.63,13.39,608590,920144805.73,1.78,0.003,0.04,0.0031
2023-01-30,000001,13.99,13.54,14.13,13.28,1374318,2096867649.37,6.29,0.0015,0.02,0.0070999999999999995
2023-01-31,000001,13.63,13.38,13.9,13.35,1030498,1568639326.21,4.06,-0.0118,-0.16,0.0053
2023-02-01,000001,13.42,13.09,13.47,12.9,1653421,2426471972.52,4.26,-0.0217,-0.29,0.0085
2023-02-02,000001,13.13,12.99,13.17,12.66,1577900,2280744883.13,3.9,-0.0076,-0.1,0.008100000000000001
2023-02-03,000001,12.84,12.71,12.94,12.55,1246383,1782105890.79,3.0,-0.0216,-0.28,0.0064
2023-02-06,000001,12.49,12.39,12.52,12.25,1317610,1838428709.03,2.12,-0.0252,-0.32,0.0068000000000000005
2023-02-07,000001,12.45,12.6,12.71,12.42,869460,1235297762.54,2.34,0.0169,0.21,0.0045000000000000005
2023-02-08,000001,12.63,12.43,12.71,12.42,657893,928708933.85,2.3,-0.013500000000000002,-0.17,0.0034000000000000002
2023-02-09,000001,12.4,12.52,12.69,12.35,830350,1174361963.28,2.74,0.0072,0.09,0.0043
2023-02-10,000001,12.49,12.37,12.51,12.25,847284,1184283386.2,2.08,-0.012,-0.15,0.0044
2023-02-13,000001,12.33,12.21,12.33,11.99,1800054,2473405202.92,2.75,-0.0129,-0.16,0.009300000000000001
2023-02-14,000001,12.24,12.35,12.37,12.19,909937,1263892077.72,1.47,0.0115,0.14,0.004699999999999999
2023-02-15,000001,12.34,12.06,12.35,12.01,1250244,1713566672.72,2.75,-0.0235,-0.29,0.0064
2023-02-16,000001,12.07,11.99,12.3,11.89,1279123,1757431083.85,3.4,-0.0058,-0.07,0.0066
2023-02-17,000001,12.02,11.82,12.11,11.82,918364,1246777397.11,2.42,-0.014199999999999999,-0.17,0.004699999999999999
2023-02-20,000001,11.89,12.54,12.54,11.88,2116191,2945969773.39,5.58,0.060899999999999996,0.72,0.0109
2023-02-21,000001,12.45,12.49,12.59,12.31,990495,1393153377.3,2.23,-0.004,-0.05,0.0051
2023-02-22,000001,12.39,12.41,12.51,12.33,638922,895742534.31,1.44,-0.0064,-0.08,0.0033
2023-02-23,000001,12.39,12.44,12.71,12.37,824491,1165539851.19,2.74,0.0024,0.03,0.0042
2023-02-24,000001,12.41,12.25,12.42,12.19,729989,1012652971.88,1.85,-0.015300000000000001,-0.19,0.0038
2023-02-27,000001,12.14,12.08,12.27,12.07,621462,854854040.54,1.63,-0.0139,-0.17,0.0032
2023-02-28,000001,12.14,12.17,12.24,12.0,607936,833316018.45,1.99,0.0075,0.09,0.0031
2023-03-01,000001,12.19,12.56,12.58,12.13,1223452,1719710647.06,3.7,0.032,0.39,0.0063
2023-03-02,000001,12.52,12.63,12.83,12.45,1015877,1447565979.98,3.03,0.005600000000000001,0.07,0.0052
2023-03-03,000001,12.74,12.68,12.76,12.53,690954,985552120.63,1.82,0.004,0.05,0.0036
2023-03-06,000001,12.69,12.24,12.69,12.11,1455824,2023954547.2,4.57,-0.0347,-0.44,0.0075
2023-03-07,000001,12.24,12.08,12.49,12.04,1279266,1773654737.03,3.68,-0.0131,-0.16,0.0066
2023-03-08,000001,12.02,11.92,12.03,11.79,1096898,1479838980.07,1.99,-0.0132,-0.16,0.005699999999999999
