date,code,open,close,high,low,volume,amount,振幅,pct_chg,涨跌额,turnover
2023-01-03,000100,3.25,3.31,3.31,3.22,1125660,421568957.6,2.77,0.018500000000000003,0.06,0.008199999999999999
2023-01-04,000100,3.3,3.37,3.39,3.29,1640976,628869492.03,3.02,0.0181,0.06,0.012
2023-01-05,000100,3.36,3.36,3.37,3.33,1000232,383364284.0,1.19,-0.003,-0.01,0.0073
2023-01-06,000100,3.35,3.38,3.44,3.34,1791821,696079235.94,2.98,0.006,0.02,0.0131
2023-01-09,000100,3.4,3.38,3.4,3.36,878683,339138361.7,1.18,0.0,0.0,0.0064
2023-01-10,000100,3.39,3.39,3.42,3.35,1019423,394404483.42,2.07,0.003,0.01,0.0075
2023-01-11,000100,3.39,3.37,3.44,3.36,1551881,603992824.52,2.36,-0.0059,-0.02,0.011399999999999999
2023-01-12,000100,3.37,3.38,3.4,3.33,956132,367442410.19,2.08,0.003,0.01,0.006999999999999999
2023-01-13,000100,3.38,3.38,3.39,3.35,781302,300681739.48,1.18,0.0,0.0,0.005699999999999999
2023-01-16,000100,3.37,3.5,3.51,3.36,2816597,1111881019.99,4.44,0.0355,0.12,0.0206
2023-01-17,000100,3.5,3.52,3.55,3.49,1638310,658063522.93,1.71,0.005699999999999999,0.02,0.012
2023-01-18,000100,3.52,3.54,3.56,3.51,1444563,582819164.09,1.42,0.005699999999999999,0.02,0.0106
2023-01-19,000100,3.52,3.62,3.64,3.51,2184068,893022428.51,3.67,0.0226,0.08,0.016
2023-01-20,000100,3.65,3.62,3.78,3.59,2418081,1005977204.89,5.25,0.0,0.0,0.0177
2023-01-30,000100,3.65,3.72,3.8,3.62,4094363,1732885648.95,4.97,0.0276,0.1,0.03
2023-01-31,000100,3.7,3.69,3.72,3.65,1879843,787809056.44,1.88,-0.008100000000000001,-0.03,0.0138
2023-02-01,000100,3.69,3.72,3.72,3.66,1477511,621725419.11,1.63,0.008100000000000001,0.03,0.0108
2023-02-02,000100,3.72,3.68,3.75,3.67,1889300,797221066.72,2.15,-0.0108,-0.04,0.0138
2023-02-03,000100,3.68,3.66,3.69,3.61,2000870,830221454.39,2.17,-0.0054,-0.02,0.0147
2023-02-06,000100,3.64,3.63,3.69,3.62,1341587,557812112.62,1.91,-0.008199999999999999,-0.03,0.0098
2023-02-07,000100,3.63,3.64,3.67,3.62,872000,361590836.0,1.38,0.0028000000000000004,0.01,0.0064
2023-02-08,000100,3.64,3.6,3.66,3.59,855107,352289576.42,1.92,-0.011000000000000001,-0.04,0.0063
2023-02-09,000100,3.58,3.68,3.68,3.58,1651499,685628329.98,2.78,0.0222,0.08,0.0121
2023-02-10,000100,3.68,3.69,3.75,3.66,1471879,621385354.08,2.45,0.0027,0.01,0.0108
2023-02-13,000100,3.69,3.67,3.71,3.66,1210104,507295785.15,1.36,-0.0054,-0.02,0.0089
2023-02-14,000100,3.68,3.69,3.72,3.65,1129613,473302414.21,1.91,0.0054,0.02,0.0083
2023-02-15,000100,3.8,3.94,4.04,3.8,7679856,3455531298.73,6.5,0.0678,0.25,0.056299999999999996
2023-02-16,000100,4.08,3.9,4.1,3.86,6761181,3071469556.4,6.09,-0.0102,-0.04,0.0495
2023-02-17,000100,3.93,3.78,3.94,3.78,3591205,1569534139.29,4.1,-0.0308,-0.12,0.0263
2023-02-20,000100,3.77,3.92,3.98,3.76,3802203,1681199206.87,5.82,0.037000000000000005,0.14,0.0279
