date,code,open,close,high,low,volume,amount,振幅,pct_chg,涨跌额,turnover
2023-01-03,000333,43.04,42.92,43.27,42.27,163628,846525405.02,2.33,0.0019,0.08,0.24
2023-01-04,000333,42.73,44.79,44.87,42.69,261341,1390708574.95,5.08,0.0436,1.87,0.38
2023-01-05,000333,45.04,45.95,46.03,44.99,294217,1608128838.06,2.32,0.0259,1.16,0.43
2023-01-06,000333,46.01,45.05,46.2,44.95,195001,1058139217.16,2.72,-0.0196,-0.9,0.28
2023-01-09,000333,45.14,45.15,45.49,44.44,204277,1101325466.48,2.33,0.0022,0.1,0.3
2023-01-10,000333,45.03,44.54,45.44,44.47,154340,829875435.25,2.15,-0.013500000000000002,-0.61,0.23
2023-01-11,000333,44.49,45.54,46.22,44.44,214610,1171606255.18,4.0,0.0225,1.0,0.31
2023-01-12,000333,45.34,45.81,46.04,45.05,145818,797908669.91,2.17,0.0059,0.27,0.21
2023-01-13,000333,45.91,46.99,47.04,45.54,265803,1471250757.18,3.27,0.0258,1.18,0.39
2023-01-16,000333,47.07,48.74,49.4,47.06,330181,1899010907.45,4.98,0.037200000000000004,1.75,0.48
2023-01-17,000333,48.73,49.04,49.22,48.19,188114,1087194816.99,2.11,0.0062,0.3,0.27
2023-01-18,000333,49.04,48.64,49.54,48.41,130358,751785488.09,2.3,-0.008199999999999999,-0.4,0.19
2023-01-19,000333,48.5,48.42,48.59,47.74,194679,1110365666.91,1.75,-0.0045000000000000005,-0.22,0.28
2023-01-20,000333,48.5,48.12,48.88,48.0,108608,621198692.31,1.82,-0.0062,-0.3,0.16
2023-01-30,000333,48.48,46.69,49.12,46.63,256196,1445902234.07,5.17,-0.0297,-1.43,0.37
2023-01-31,000333,46.44,46.24,47.19,46.04,232598,1290578245.2,2.46,-0.0096,-0.45,0.34
2023-02-01,000333,46.33,46.54,47.03,45.49,267247,1474820029.11,3.33,0.006500000000000001,0.3,0.39
2023-02-02,000333,46.49,45.0,46.64,44.66,367678,1990832646.72,4.25,-0.0331,-1.54,0.54
2023-02-03,000333,44.74,44.35,44.99,43.9,208300,1109569943.18,2.42,-0.0144,-0.65,0.3
2023-02-06,000333,43.85,42.29,43.85,42.12,421857,2172641978.93,3.9,-0.0464,-2.06,0.62
2023-02-07,000333,42.4,42.54,42.74,42.14,209009,1075310677.24,1.42,0.0059,0.25,0.3
2023-02-08,000333,42.43,42.05,42.54,41.9,191018,976761616.35,1.5,-0.0115,-0.49,0.28
2023-02-09,000333,41.84,42.57,42.77,41.53,227383,1167989708.86,2.95,0.0124,0.52,0.33
2023-02-10,000333,42.39,42.66,42.79,42.33,139889,720948239.08,1.08,0.0021,0.09,0.2
2023-02-13,000333,42.54,43.48,43.62,42.07,306391,1588991528.56,3.63,0.0192,0.82,0.45
2023-02-14,000333,43.49,43.25,43.69,42.85,214375,1116499049.93,1.93,-0.0053,-0.23,0.31
2023-02-15,000333,43.24,42.39,43.25,42.22,179488,924114015.39,2.38,-0.0199,-0.86,0.26
2023-02-16,000333,42.14,42.32,42.79,41.84,216987,1115558778.34,2.24,-0.0017000000000000001,-0.07,0.32
2023-02-17,000333,42.09,42.42,42.54,42.06,158066,811189152.47,1.13,0.0024,0.1,0.23
2023-02-20,000333,42.54,44.34,44.73,42.15,383136,2019572888.96,6.08,0.0453,1.92,0.56
2023-02-21,000333,44.34,44.58,44.84,43.77,256493,1369820913.57,2.41,0.0054,0.24,0.37
2023-02-22,000333,44.04,43.82,44.22,43.45,229115,1208465937.51,1.73,-0.017,-0.76,0.33
2023-02-23,000333,43.83,44.41,44.92,43.83,240107,1283774546.62,2.49,0.013500000000000002,0.59,0.35
2023-02-24,000333,44.22,44.02,44.43,43.86,169278,898514540.18,1.28,-0.0088,-0.39,0.25
2023-02-27,000333,43.64,43.44,44.02,42.9,169471,888727920.68,2.54,-0.0132,-0.58,0.25
2023-02-28,000333,43.06,43.5,44.18,43.06,194045,1019960547.49,2.58,0.0014000000000000002,0.06,0.28
2023-03-01,000333,43.55,45.66,46.03,43.55,432975,2350199969.15,5.7,0.049699999999999994,2.16,0.63
2023-03-02,000333,45.64,45.89,46.72,45.19,255490,1408679946.1,3.35,0.005,0.23,0.37
2023-03-03,000333,46.29,46.24,46.88,45.7,197415,1090871927.34,2.57,0.0076,0.35,0.29
2023-03-06,000333,45.88,44.87,46.04,44.85,259357,1403695330.05,2.57,-0.0296,-1.37,0.38
2023-03-07,000333,44.88,43.9,45.41,43.74,194738,1041648711.51,3.72,-0.0216,-0.97,0.28
2023-03-08,000333,43.69,43.33,43.84,43.11,144948,759112018.2,1.66,-0.013000000000000001,-0.57,0.21
2023-03-09,000333,43.33,43.74,44.29,43.31,130131,688042449.66,2.26,0.0095,0.41,0.19
2023-03-10,000333,43.28,42.19,43.54,42.06,192134,991798893.83,3.38,-0.0354,-1.55,0.28
2023-03-13,000333,42.05,43.1,43.28,42.04,194837,1009855801.36,2.94,0.0216,0.91,0.28
2023-03-14,000333,42.76,42.19,42.95,41.74,165011,844706514.89,2.81,-0.021099999999999997,-0.91,0.24
2023-03-15,000333,42.54,41.5,42.67,41.44,209456,1067097770.98,2.92,-0.016399999999999998,-0.69,0.31
2023-03-16,000333,41.12,41.08,41.43,40.69,121820,610120756.06,1.78,-0.0101,-0.42,0.18
2023-03-17,000333,41.54,41.37,42.22,41.1,201231,1018389815.29,2.73,0.0070999999999999995,0.29,0.29
2023-03-20,000333,41.22,41.48,42.17,41.14,163015,826038622.5,2.49,0.0027,0.11,0.24
2023-03-21,000333,41.59,43.14,43.18,41.59,231466,1191368462.37,3.83,0.04,1.66,0.34
2023-03-22,000333,43.24,42.74,43.31,42.34,135542,700825341.29,2.25,-0.009300000000000001,-0.4,0.2
2023-03-23,000333,42.52,42.86,43.04,42.43,123790,641022828.95,1.43,0.0028000000000000004,0.12,0.18
2023-03-24,000333,42.86,43.13,43.21,42.68,132776,689957504.0,1.24,0.0063,0.27,0.19
2023-03-27,000333,43.13,42.89,43.5,42.74,127683,663222019.69,1.76,-0.005600000000000001,-0.24,0.19
2023-03-28,000333,42.74,42.13,43.12,42.1,128679,660858734.15,2.38,-0.0177,-0.76,0.19
2023-03-29,000333,42.42,42.44,42.61,42.14,128030,656903324.57,1.12,0.0074,0.31,0.19
2023-03-30,000333,42.39,45.51,45.84,42.34,571574,3061435505.47,8.25,0.0723,3.07,0.83
2023-03-31,000333,45.15,44.85,45.66,44.4,277888,1500198904.14,2.77,-0.014499999999999999,-0.66,0.41
