date,code,open,close,high,low,volume,amount,振幅,pct_chg,涨跌额,turnover
2023-01-03,000002,17.42,17.55,17.82,17.2,636400,1158945281.2,3.54,0.0017000000000000001,0.03,0.006500000000000001
2023-01-04,000002,17.57,18.39,18.6,17.39,1087147,2060317406.33,6.89,0.0479,0.84,0.011200000000000002
2023-01-05,000002,18.32,18.65,18.8,18.22,705245,1357011735.35,3.15,0.0141,0.26,0.0073
2023-01-06,000002,18.93,18.54,19.01,18.32,721240,1391208648.38,3.7,-0.0059,-0.11,0.0074
2023-01-09,000002,18.61,18.1,18.67,18.0,685066,1292008007.55,3.61,-0.023700000000000002,-0.44,0.0070999999999999995
2023-01-10,000002,18.1,18.12,18.29,17.97,482080,906180275.22,1.77,0.0011,0.02,0.005
2023-01-11,000002,18.14,18.31,18.63,18.12,669313,1273464590.19,2.81,0.0105,0.19,0.0069
2023-01-12,000002,18.17,17.92,18.2,17.63,679413,1260184288.98,3.11,-0.0213,-0.39,0.006999999999999999
2023-01-13,000002,17.77,18.1,18.1,17.77,414362,771628014.51,1.84,0.01,0.18,0.0043
2023-01-16,000002,18.1,18.02,18.22,17.78,668753,1248278213.7,2.43,-0.0044,-0.08,0.0069
2023-01-17,000002,18.05,18.06,18.17,17.68,531442,988946549.63,2.72,0.0022,0.04,0.0055000000000000005
2023-01-18,000002,18.07,17.8,18.27,17.76,531589,987395603.39,2.82,-0.0144,-0.26,0.0055000000000000005
2023-01-19,000002,17.76,17.87,17.87,17.42,634379,1161720123.34,2.53,0.0039000000000000003,0.07,0.006500000000000001
2023-01-20,000002,17.81,17.9,17.97,17.67,504114,933806301.62,1.68,0.0017000000000000001,0.03,0.0052
2023-01-30,000002,18.2,17.41,18.32,17.32,1270474,2315151336.47,5.59,-0.0274,-0.49,0.0131
2023-01-31,000002,17.4,17.61,17.67,17.27,689203,1255458742.99,2.3,0.0115,0.2,0.0070999999999999995
2023-02-01,000002,17.52,17.51,17.6,17.22,690811,1246611678.64,2.16,-0.005699999999999999,-0.1,0.0070999999999999995
2023-02-02,000002,17.5,17.5,17.7,17.25,707211,1283125788.73,2.57,-0.0006,-0.01,0.0073
2023-02-03,000002,17.44,17.29,17.44,17.2,497584,893421833.48,1.37,-0.012,-0.21,0.0051
2023-02-06,000002,17.07,16.6,17.08,16.52,1240827,2153492511.22,3.24,-0.039900000000000005,-0.69,0.0128
