date,code,open,close,high,low,volume,amount,振幅,pct_chg,涨跌额,turnover
2023-01-03,000338,8.79,8.88,8.89,8.67,270792,275388858.71,2.5,0.0102,0.09,0.0054
2023-01-04,000338,8.89,9.0,9.05,8.86,251436,259982027.45,2.14,0.013500000000000002,0.12,0.005
2023-01-05,000338,9.04,9.31,9.33,9.02,505577,536804388.94,3.44,0.0344,0.31,0.01
2023-01-06,000338,9.29,9.26,9.36,9.19,228531,243298079.44,1.83,-0.0054,-0.05,0.0045000000000000005
2023-01-09,000338,9.38,9.48,9.51,9.32,335810,364382106.52,2.05,0.023799999999999998,0.22,0.0067
2023-01-10,000338,9.46,9.34,9.48,9.31,263890,284127741.54,1.79,-0.0148,-0.14,0.0052
2023-01-11,000338,9.34,9.29,9.42,9.26,177531,190461043.1,1.71,-0.0054,-0.05,0.0034999999999999996
2023-01-12,000338,9.31,9.36,9.41,9.28,183899,197514304.68,1.4,0.0075,0.07,0.0036
2023-01-13,000338,9.38,9.54,9.54,9.35,320798,348471157.77,2.03,0.0192,0.18,0.0064
2023-01-16,000338,9.59,9.58,9.73,9.51,369004,406851508.88,2.31,0.0042,0.04,0.0073
2023-01-17,000338,9.59,9.55,9.64,9.49,214994,235210450.25,1.57,-0.0031,-0.03,0.0043
2023-01-18,000338,9.58,9.56,9.68,9.51,192193,210905899.18,1.78,0.001,0.01,0.0038
2023-01-19,000338,9.57,9.66,9.67,9.47,256756,281735978.27,2.09,0.0105,0.1,0.0051
2023-01-20,000338,9.68,9.68,9.71,9.61,222858,246273344.41,1.04,0.0021,0.02,0.0044
2023-01-30,000338,9.86,9.85,9.94,9.75,472016,530325551.69,1.96,0.0176,0.17,0.009300000000000001
2023-01-31,000338,9.85,9.82,9.96,9.79,334279,375868839.52,1.73,-0.003,-0.03,0.0066
2023-02-01,000338,9.86,10.11,10.11,9.85,434182,493852094.87,2.65,0.029500000000000002,0.29,0.0086
2023-02-02,000338,10.18,10.06,10.26,10.04,408627,471775452.64,2.18,-0.0049,-0.05,0.008100000000000001
2023-02-03,000338,10.01,10.19,10.28,9.82,578334,661951145.53,4.57,0.0129,0.13,0.0115
2023-02-06,000338,10.23,10.29,10.58,10.03,879509,1034913144.02,5.4,0.0098,0.1,0.0174
2023-02-07,000338,10.29,10.44,10.5,10.29,412902,487008879.49,2.04,0.0146,0.15,0.008199999999999999
2023-02-08,000338,10.48,10.53,10.66,10.34,503466,599616608.56,3.07,0.0086,0.09,0.01
2023-02-09,000338,10.51,10.37,10.52,10.31,607683,715547907.21,1.99,-0.0152,-0.16,0.012
2023-02-10,000338,10.31,10.36,10.42,10.25,274711,322655553.54,1.64,-0.001,-0.01,0.0054
2023-02-13,000338,10.39,10.98,11.23,10.37,1478415,1822089531.15,8.3,0.059800000000000006,0.62,0.029300000000000003
