date,code,open,close,high,low,volume,amount,振幅,pct_chg,涨跌额,turnover
2023-01-03,000166,3.87,3.88,3.9,3.83,464932,184020302.79,1.8,0.0,0.0,0.21
2023-01-04,000166,3.88,3.89,3.9,3.87,330258,131632788.64,0.77,0.0026,0.01,0.15
2023-01-05,000166,3.9,3.92,3.93,3.89,407370,163437189.93,1.03,0.0077,0.03,0.18
2023-01-06,000166,3.91,3.91,3.93,3.9,327663,131511990.18,0.77,-0.0026,-0.01,0.15
2023-01-09,000166,3.91,3.93,3.97,3.91,445629,180014946.96,1.53,0.0051,0.02,0.2
2023-01-10,000166,3.94,3.92,3.96,3.91,371760,150036578.07,1.27,-0.0025,-0.01,0.16
2023-01-11,000166,3.92,3.91,3.94,3.9,257488,103502718.39,1.02,-0.0026,-0.01,0.11
2023-01-12,000166,3.9,3.92,3.93,3.88,333684,133573019.6,1.28,0.0026,0.01,0.15
2023-01-13,000166,3.93,3.97,3.97,3.91,557784,225287905.73,1.53,0.0128,0.05,0.25
2023-01-16,000166,3.97,4.05,4.11,3.96,1510511,627366365.79,3.78,0.0202,0.08,0.67
2023-01-17,000166,4.05,4.08,4.09,4.03,792101,329701194.97,1.48,0.0074,0.03,0.35
2023-01-18,000166,4.08,4.08,4.1,4.07,528155,221271427.68,0.74,0.0,0.0,0.23
2023-01-19,000166,4.08,4.14,4.14,4.06,725278,305546236.72,1.96,0.0147,0.06,0.32
2023-01-20,000166,4.13,4.11,4.14,4.09,737491,310207560.65,1.21,-0.0072,-0.03,0.33
2023-01-30,000166,4.15,4.08,4.17,4.07,708724,298159184.26,2.43,-0.0073,-0.03,0.31
2023-01-31,000166,4.08,4.05,4.1,4.04,558120,232353059.2,1.47,-0.0074,-0.03,0.25
2023-02-01,000166,4.07,4.13,4.15,4.05,674153,282882768.65,2.47,0.019799999999999998,0.08,0.3
2023-02-02,000166,4.26,4.14,4.29,4.13,1602641,687263309.76,3.87,0.0024,0.01,0.71
2023-02-03,000166,4.12,4.1,4.15,4.07,762166,320639526.64,1.93,-0.0097,-0.04,0.34
2023-02-06,000166,4.1,4.08,4.1,4.06,394755,165175014.69,0.98,-0.0049,-0.02,0.18
2023-02-07,000166,4.08,4.08,4.1,4.05,451717,188656400.11,1.23,0.0,0.0,0.2
2023-02-08,000166,4.09,4.04,4.1,4.03,405644,168711275.35,1.72,-0.0098,-0.04,0.18
2023-02-09,000166,4.03,4.09,4.09,4.02,393475,163982063.08,1.73,0.0124,0.05,0.17
2023-02-10,000166,4.08,4.07,4.11,4.06,313156,130921865.46,1.22,-0.0049,-0.02,0.14
2023-02-13,000166,4.07,4.1,4.11,4.06,377279,158241235.81,1.23,0.0074,0.03,0.17
2023-02-14,000166,4.1,4.1,4.12,4.08,330934,138955834.0,0.98,0.0,0.0,0.15
2023-02-15,000166,4.11,4.08,4.11,4.07,296601,124216169.23,0.98,-0.0049,-0.02,0.13
2023-02-16,000166,4.09,4.05,4.15,4.02,791120,332305105.49,3.19,-0.0074,-0.03,0.35
2023-02-17,000166,4.05,4.01,4.07,4.0,465300,192480118.4,1.73,-0.009899999999999999,-0.04,0.21
2023-02-20,000166,4.05,4.13,4.14,4.03,897234,376455412.31,2.74,0.029900000000000003,0.12,0.4
